Naam ;Adres;Nr.;Postcode;Plaats;Website;Rechtsvorm;"Ondernemings-
nummer";Discipline;"Leeftijds-
categorieën";"Adres(sen) van 
de activiteiten";"Geografische coördinaten 
van de activiteiten"
FC Camargue;Venelle du Bois de Villers ;46;1300;Wavre;;Feitelijke vereniging;;Voetbal;+35;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
FC Tauro;Landbouwstraat ;240;1030;Schaarbeek;;Feitelijke vereniging;;Voetbal;+18;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
Graine de sport;Bosstraat ;2;1460;Ittre;;Vzw;0840.199.350;Zaalvoetbal;;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
Green Devils;P. Hymanslaan ;124 bus 50;1200;Sint-Lambrechts-Woluwe;;Feitelijke vereniging;;Voetbal;18-30;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
Hakmi Team;chaussée de Wavre;75;1370;Jodoigne;www.taekwondo-hakmi.be;Feitelijke vereniging;;Taekwondo;3-18;La Source;"50°52'41.3""N 4°23'47.8""O"
Inrichtende macht van het Heilig Hart van Maria Instituut;Oud-Strijderslaan ;61B;1140;Evere;www.hhmi.be;Vzw;0431.805.693;Turnen;;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
Jeannekes boys & girls;Van Cutsemstraat ;49;1140;Evere;;Feitelijke vereniging;;Voetbal;+18;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
Judo Club Evere ;V. Rousseaulaan ;33;1190;Vorst;;Vzw;0860.164.425;Judo;5-14;Clair-Vivre;"50°52'41.3""N 4°23'47.8""O"
Kiko 13;F. Gurinckxstraat ;55;1831;Diegem;;Feitelijke vereniging;;Zaalvoetbal;16-60;Sportcomplex;"50°52'10.8""N 4°24'22.0""O"
La Lorgnette;H. Consciencelaan ;265 bus 17;1140;Evere;;Feitelijke vereniging;;Voetbal;+16;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
La Palette Evere;L. Piérardlaan ;40 bus 4;1140;Evere;;Feitelijke vereniging;;Tafeltennis;+6;Sportcomplex;"50°52'10.8""N 4°24'22.0""O"
Le club du multisports;L. Mettewielaan ;75 bM32;1080;Brussel;www.club-multisports.be;Vzw;0461.682.881;Multisport;3-12;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
Les Astéries;J. Ballingsstraat ;57;1140;Evere;www.asteries.be;Vzw;0451.320.214;Duiken;+14;Triton;"50°52'04.1""N 4°24'27.2""O"
Les Vétérans de l'Atlas;W. Van Perckstraat;50;1140;Evere;;Feitelijke vereniging;;Zaalvoetbal;;Sportcomplex;"50°52'10.8""N 4°24'22.0""O"
Maison de jeunes Regard;Tweehuizenstraat ;30;1140;Evere;;Vzw;0503.914.802;Zaalvoetbal;10-35;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
MFC Olympique Evere;L. Piérardlaan ;6 bus 3;1140;Evere;;Feitelijke vereniging;;Zaalvoetbal;;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
Mini 83 Octa + Bxl;C. Permekelaan ;59;1140;Evere;;Feitelijke vereniging;;Zaalvoetbal;;Sportcomplex;"50°52'10.8""N 4°24'22.0""O"
Mini 83 Octa + Bxl;C. Permekelaan ;59;1140;Evere;;Feitelijke vereniging;;Zaalvoetbal;;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
Napoli Gym;;;;;;;;Boks;+5;Triton;"50°52'04.1""N 4°24'27.2""O"
New for Ever Senior ;Tweehuizenstraat;36;1140;Evere;;Feitelijke vereniging;;Petanque;+12;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
Number One;Klein-Zwitserlandgaarde ;13;1140;Evere;;Feitelijke vereniging;;Zaalvoetbal;+35;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
Olympic evere gym;Oud-Strijderslaan ;89 bus 1;1140;Evere;;Vzw;0476.059.469;Turnen;6-90;Clair-Vivre;"50°52'41.3""N 4°23'47.8""O"
Peps Evere;H. Consciencelaan ;204;1140;Evere;;Vzw;0886.095.493;Multisport;5-14;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
Phoenix Evere;Galgelaan ;20 bus 13;1140;Evere;www.phoenix-evere.footeo.com;Feitelijke vereniging;;Zaalvoetbal;+16;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
Proxima centauri;Vredeplein;11;1140;Evere;;Vzw;0825.873.638;Zaalvoetbal;+16;Sportcomplex;"50°52'10.8""N 4°24'22.0""O"
Royal Elan AC Evere;Balladegaarde ;2;1140;Evere;;Feitelijke vereniging;;Voetbal;+18;Sint-Vincentius;"50°52'51.9""N 4°24'00.9""O"
Royal Evere White Star Hockey Club;Oud-Strijderslaan ;350;1140;Evere;www.whitehockey.be;Vzw;0436.280.957;Hockey;+3;White Star;"50°52'14.6""N 4°24'32.4""O"
Royal Football club des Compagnons du cinéma;Avenue Gabrielle Petit ;36;1480;Tubize;;Feitelijke vereniging;;Voetbal;+18;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
S.C. Campomaiorense;Daillylaan ;235;1030;Schaarbeek;;Vzw;0829.786.005;Voetbal;+16;Sportcomplex;"50°52'09.8""N 4°24'24.2""O"
S'académie;Mussenstraat ;17-19;1000;Brussel;;Vzw;0445.177.639;Turnen;+50;Sportcomplex;"50°52'10.8""N 4°24'22.0""O"
Preventiedienst;S. Hoedemaekerssquare ;10;1140;Evere;;Gemeente;0270.365.709;Multisport;;Sportcomplex;"50°52'10.8""N 4°24'22.0""O"
Shitokai Karaté Evere;A. De Brandtstraat ;;1140;Evere;www.shitokai-evere.be;Vzw;0818.530.243;Karate;+6;Everheide;"50°52'26.2""N 4°23'46.5""O"
Smash – Evere;Oud-Strijderslaan ;262;1140;Evere;;Feitelijke vereniging;;Tafeltennis;+8;Sportcomplex;"50°52'10.8""N 4°24'22.0""O"
Sporta Evere Gym;Steenboklaan;2;1200;Sint-Lambrechts-Woluwe;;Vzw;0875.154.289;Turnen;6-21;La Source;"50°52'41.3""N 4°23'47.8""O"
Sporta Evere Volley Club;Pagodenlaan ;27 bus 2;1020;Laken;www.sportaevere.be;Vzw;0429.766.319;Volleybal;+5;Sportcomplex;"50°52'07.0""N 4°24'24.5""O"
Stade Everois RC;Stroobantsstraat ;75;1140;Evere;www.stade-everois.be;Vzw;0465.078.277;Voetbal;+5;Sint-Vincentius;"50°52'51.9""N 4°24'00.9""O"
SV Beertjes;Parijsstraat ;22;1140;Evere;;Feitelijke vereniging;;Zaalvoetbal;;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
Turnkring Hermelijn;W. Van Leeuwlaan ;52;1140;Evere;;Feitelijke vereniging;;Turnen;+18;Everheide;"50°52'26.2""N 4°23'46.5""O"
United Brussels Handball Club;Watermanlaan ;5;1410;Waterloo;;Vzw;0877.653.723;handball;+3;Sportcomplex;"50°52'09.8""N 4°24'24.2""E"
Picardie Evere;Helmetsesteenweg ;388;1030;Schaarbeek;www.asbl-vision.be;Vzw;0471.369.619;Zaalvoetbal;12-30;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
White Star Evere;F. Guillaumelaan ;56 bus 10;1140;Evere;;Feitelijke vereniging;;Zaalvoetbal;+16;Zaal L'Aubier;"50°51'39.4""N 4°24'59.5""O"
White Star Padel Club asbl;Oud-Strijderslaan;350;1140;Evere;www.padelbruxelles.be;Vzw;0633.656.854;Padel;;White Star;"50°52'13.2""N 4°24'33.6""O"
Yoga Centrum Evere;Oud Kapellekelaan  ;5 bus 67;1140;Evere;;Feitelijke vereniging;;Yoga;+18;Everheide;"50°52'26.2""N 4°23'46.5""O"
Yoga Notre-Dame;C. Permekelaan;61;1140;Evere;;Feitelijke vereniging;;Yoga;+18;Sportcomplex;"50°52'10.8""N 4°24'22.0""O"
